record type,booking id,service type,type,trip id,block number,direction num,direction name,route id,route variant,distance,comment id,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23
11,57,2,3,2082358185,90,,,,,0.0,,,11820,12600,SN16,SN16,,0111100,,0,0,2082358185
11,57,2,0,357850815,90,0,outbound,113,A,1554.,,113,12600,14520,SN16,SN16,,0111100,113,0,0,357850815
20,57,2,0,357850815,90,0,outbound,113,A,0.0,,6228,12600,,,,,,,,,
20,57,2,0,357850815,90,0,outbound,113,A,322.0,,4183,13260,,,,,,,,,
20,57,2,0,357850815,90,0,outbound,113,A,337.0,,5052,13560,,,,,,,,,
20,57,2,0,357850815,90,0,outbound,113,A,403.8,,1308,13980,,,,,,,,,
20,57,2,0,357850815,90,0,outbound,113,A,491.4,,4288,14520,,,,,,,,,
11,57,2,0,357850895,90,1,inbound,113,-,1390.,,113,14880,16680,SN16,SN16,,0111100,113,0,0,357850895
20,57,2,0,357850895,90,1,inbound,113,-,0.0,,4288,14880,,,,,,,,,
20,57,2,0,357850895,90,1,inbound,113,-,296.4,,4294,15420,,,,,,,,,
20,57,2,0,357850895,90,1,inbound,113,-,293.7,,5051,15900,,,,,,,,,
20,57,2,0,357850895,90,1,inbound,113,-,411.5,,1326,16200,,,,,,,,,
20,57,2,0,357850895,90,1,inbound,113,-,388.6,,20016,16680,,,,,,,,,
11,57,2,1,415400121,90,,,,,0.0,,,16680,16680,SN16,SN16,,0111100,,0,0,415400121
11,57,2,0,357850812,90,0,outbound,113,A,1554.,,113,18000,19980,SN16,SN16,,0111100,113,0,0,357850812
20,57,2,0,357850812,90,0,outbound,113,A,0.0,,6228,18000,,,,,,,,,
20,57,2,0,357850812,90,0,outbound,113,A,322.0,,4183,18660,,,,,,,,,
20,57,2,0,357850812,90,0,outbound,113,A,337.0,,5052,18960,,,,,,,,,
20,57,2,0,357850812,90,0,outbound,113,A,403.8,,1308,19380,,,,,,,,,
20,57,2,0,357850812,90,0,outbound,113,A,491.4,,4288,19980,,,,,,,,,
11,57,2,0,357850890,90,1,inbound,113,-,1390.,,113,20520,22860,SN16,SN16,,0111100,113,0,0,357850890
20,57,2,0,357850890,90,1,inbound,113,-,0.0,,4288,20520,,,,,,,,,
20,57,2,0,357850890,90,1,inbound,113,-,296.4,,4294,21240,,,,,,,,,
20,57,2,0,357850890,90,1,inbound,113,-,293.7,,5051,21840,,,,,,,,,
20,57,2,0,357850890,90,1,inbound,113,-,411.5,,1326,22320,,,,,,,,,
20,57,2,0,357850890,90,1,inbound,113,-,388.6,,20016,22860,,,,,,,,,
11,57,2,1,2061038027,90,,,,,0.0,,,22860,22860,SN16,SN16,,0111100,,0,0,2061038027
11,57,2,0,357850807,90,0,outbound,113,A,1554.,,113,23340,25560,SN16,SN16,,0111100,113,0,0,357850807
20,57,2,0,357850807,90,0,outbound,113,A,0.0,,6228,23340,,,,,,,,,
20,57,2,0,357850807,90,0,outbound,113,A,322.0,,4183,24000,,,,,,,,,
20,57,2,0,357850807,90,0,outbound,113,A,337.0,,5052,24420,,,,,,,,,
20,57,2,0,357850807,90,0,outbound,113,A,403.8,,1308,24960,,,,,,,,,
